單字,台語例句,台羅拼音,中文翻譯,來源詞目,資料品質,擷取時間,資料來源
公車,你閣行幾伐仔就會當看著公車牌仔矣。,Lí koh kiânn--kuí-hua̍h-á tō ē-tàng khuànn-tio̍h kong-tshia-pâi-á--ah.。,你再走幾步就可以看到公車站牌了。,伐白hua̍h,完整,2025-08-27 03:04:03,教育部臺灣台語常用詞辭典
卡車,這台計程車的車頭去予卡車挵甲凹落去。,Tsit tâi kè-thîng-tshia ê tshia-thâu khì hōo khah-tshia lòng kah nah--lo̍h-khì.。,這臺計程車的車頭被卡車撞得陷下去。,車頭,完整,2025-08-27 03:03:49,教育部臺灣台語常用詞辭典
客運,明仔載我會坐客運轉去。,Bîn-á-tsài guá ē tsē kheh-ūn tńg--khì.。,明天我會搭客運回去。,客運,完整,2025-08-27 03:04:16,教育部臺灣台語常用詞辭典
怪手,塚仔埔欲開路，駛怪手的司機先攢牲醴拜好兄弟仔，紲落去那燒銀紙，喙閣那唸：「無禁無忌，食百二。」,"Thióng-á-poo beh khui-lōo, sái kuài-tshiú ê su-ki sing tshuân sing-lé pài hó-hiann-tī-á, suà--lo̍h-khì ná sio gîn-tsuá, tshuì koh ná liām, “Bô-kìm-bô-khī, tsia̍h pah-jī.”。」",墓地要開路，怪手司機先準備三牲祭拜好兄弟，接著一邊燒銀紙，嘴巴還一邊念著：「百無禁忌，活到一百二十歲。」,無禁無忌，食百二。,完整,2025-08-27 03:04:18,教育部臺灣台語常用詞辭典
捷運,你按呢食甲肥朒朒，身軀圓輾輾，愛較捷運動咧喔！,"Lí án-ne tsia̍h kah puî-tsut-tsut, sin-khu înn-liàn-liàn, ài khah tsia̍p ūn-tōng--leh--ooh",你這樣子吃得肥滋滋的，身材圓滾滾，要勤於運動喔！,圓輾輾,完整,2025-08-27 03:03:47,教育部臺灣台語常用詞辭典
救護車,伊出車禍著傷，跤煞袂行，予人用軟床扛起去救護車送去病院。,"I tshut tshia-hō tio̍h-siong, kha suah bē kiânn, hōo lâng iōng nńg-tshn̂g kng khí-khì kiù-hōo-tshia sàng-khì pēnn-īnn.。",他車禍受傷，腳無法行走，被人用擔架抬上救護車送往醫院。,軟床,完整,2025-08-27 03:04:00,教育部臺灣台語常用詞辭典
機車,伊定咧講欲買烏頭仔車來駛，其實伊連機車都買袂起，朋友攏笑伊是「乞食身，皇帝喙」。,"I tiānn teh kóng beh bé oo-thâu-á-tshia lâi sái, kî-si̍t i liân ki-tshia to bé bē khí, pîng-iú lóng tshiò i sī “khit-tsia̍h sin, hông-tè tshuì”.。",他老是說要買高級轎車來開，其實他連摩托車都買不起，朋友都笑他是「乞食身價，皇帝口氣」。,乞食身，皇帝喙。,完整,2025-08-27 03:04:37,教育部臺灣台語常用詞辭典
汽車,我對汽車真內行。,Guá tuì khì-tshia tsin lāi-hâng.。,我對車子很在行。,內行,完整,2025-08-27 03:04:34,教育部臺灣台語常用詞辭典
流籠,恁欲跙流籠，著愛照排列，按呢才有公平。,"Lín beh tshū-liû-lông, tio̍h-ài tsiàu pâi-lia̍t, án-ne tsiah ū kong-pênn.。",你們要溜滑梯，得要照順序排隊，這樣才公平。,跙流籠,完整,2025-08-27 03:03:57,教育部臺灣台語常用詞辭典
火車,聽講伊是佇火車頂生的，因由是𪜶母仔坐火車的時水帕雄雄破去，拄好有旅客是醫生，緊猛走來鬥相共，佳哉母仔囝攏平安無代誌。,"Thiann-kóng i sī tī hué-tshia-tíng senn--ê, in-iû sī in bú--á tsē hué-tshia ê sî tsuí-phè hiông-hiông phuà--khì, tú-hó ū lí-kheh sī i-sing, kín-mé tsáu-lâi tàu-sann-kāng, ka-tsài bú-á-kiánn lóng pîng-an bô tāi-tsì.。",聽說他是在火車上出生的，因為他媽媽搭火車的時候羊水突然破了，恰好有旅客是醫師，趕緊跑來幫忙，幸好母子都平安無事。,水帕,完整,2025-08-27 03:04:32,教育部臺灣台語常用詞辭典
計程車,這台計程車的車頭去予卡車挵甲凹落去。,Tsit tâi kè-thîng-tshia ê tshia-thâu khì hōo khah-tshia lòng kah nah--lo̍h-khì.。,這臺計程車的車頭被卡車撞得陷下去。,車頭,完整,2025-08-27 03:04:05,教育部臺灣台語常用詞辭典
貨車,三噸半的貨車扣除車身重量，會使載大約一千五百公斤的貨。,"Sann tòng puànn ê huè-tshia khàu-tû tshia-sin tāng-liōng, ē-sái tsài tāi-iok tsi̍t-tshing gōo-pah kong-kin ê huè.。",三噸半的貨車扣除車身重量，可以載運大約一千五百公斤的貨。,噸,完整,2025-08-27 03:04:26,教育部臺灣台語常用詞辭典
跤踏車,早起本來欲騎機車去買菜，想袂到機車煞袂發，臨時「無牛駛馬」，換騎跤踏車去。,"Tsá-khí pún-lâi beh khiâ ki-tshia khì bé tshài, siūnn-bē-kàu ki-tshia suah bē huat, lîm-sî “bô gû sái bé”, uānn khiâ kha-ta̍h-tshia khì.。",早上本來想騎機車去買菜，想不到機車竟然發不動，臨時「退而求其次」，換騎腳踏車去。,無牛駛馬。,完整,2025-08-27 03:04:10,教育部臺灣台語常用詞辭典
遊覽車,志勇駛遊覽車到今十外冬矣，攏毋捌發生事故，想袂到昨昏煞予山頂落落來的石頭硩一下誠傷重，莫怪有人講「行船走馬三分命」，真正攏袂按得。,"Tsì-ióng sái iû-lám-tshia kàu-tann tsa̍p-guā tang--ah, lóng m̄ bat huat-sing sū-kòo, siūnn-bē-kàu tsa-hng suah hōo suann-tíng lak--lo̍h-lâi ê tsio̍h-thâu teh tsi̍t-ē tsiânn siong-tiōng, bo̍k-kuài ū lâng kóng “kiânn-tsûn tsáu-bé sann hun miā”, tsin-tsiànn lóng bē-àn--tit.。",志勇開遊覽車開了十多年，都不曾沒發生過事故，想不到昨天竟然被山上砸下來的石頭打到重傷，難怪人家說「航海走馬三分命」真是讓人無法預料。,行船走馬三分命。,完整,2025-08-27 03:04:24,教育部臺灣台語常用詞辭典
飛機,聽著飛機失事的消息，伊規个人愣去。,"Thiann-tio̍h hui-ki sit-sū ê siau-sit, i kui-ê lâng gāng--khì.。",聽到飛機失事的消息，他整個人呆住了。,愣替gāng,完整,2025-08-27 03:04:21,教育部臺灣台語常用詞辭典
飛行機,伊欲出國是看心情，見若心適興，飛行機票買落就出去。,"I beh tshut-kok sī khuànn sim-tsîng, kiàn-nā sim-sik-hìng, hue-lîng-ki-phiò bé--lo̍h tō tshut--khì.。",他想出國是取決於心情，只要興起，機票買了就飛出去了。,心適興,完整,2025-08-27 03:04:08,教育部臺灣台語常用詞辭典
高鐵,咱先坐高鐵來去臺中，才閣盤火車去大肚參觀磺溪書院。,"Lán sing tsē ko-thih lâi-khì Tâi-tiong, tsiah-koh puânn hué-tshia khì Tuā-tōo tsham-kuan Hông-khe Su-īnn.。",我們先搭高鐵去臺中，再轉搭火車去大肚參觀磺溪書院。,才閣,完整,2025-08-27 03:03:55,教育部臺灣台語常用詞辭典
